$MeshFile
Vertex	X	YZ
263	-0.453125	0.43750
264	-0.4375	0.43750
265	-0.421875	0.43750
266	-0.40625	0.43750
267	-0.390625	0.43750
268	-0.375	0.43750
269	-0.359375	0.43750
270	-0.34375	0.43750
271	-0.328125	0.43750
272	-0.3125	0.43750
273	-0.296875	0.43750
274	-0.28125	0.43750
275	-0.265625	0.43750
276	-0.25	0.43750
277	-0.234375	0.43750
278	-0.21875	0.43750
279	-0.203125	0.43750
280	-0.1875	0.43750
281	-0.171875	0.43750
282	-0.15625	0.43750
283	-0.140625	0.43750
284	-0.125	0.43750
285	-0.109375	0.43750
286	-0.09375	0.43750
287	-0.078125	0.43750
288	-0.0625	0.43750
289	-0.046875	0.43750
290	-0.03125	0.43750
291	-0.015625	0.43750
292	0	0.43750
293	0.015625	0.43750
294	0.03125	0.43750
295	0.046875	0.43750
296	0.0625	0.43750
297	0.078125	0.43750
298	0.09375	0.43750
299	0.109375	0.43750
300	0.125	0.43750
301	0.140625	0.43750
302	0.15625	0.43750
303	0.171875	0.43750
304	0.1875	0.43750
305	0.203125	0.43750
306	0.21875	0.43750
307	0.234375	0.43750
308	0.25	0.43750
309	0.265625	0.43750
310	0.28125	0.43750
311	0.296875	0.43750
312	0.3125	0.43750
313	0.328125	0.43750
314	0.34375	0.43750
315	0.359375	0.43750
316	0.375	0.43750
317	0.390625	0.43750
318	0.40625	0.43750
319	0.421875	0.43750
320	0.4375	0.43750
321	0.453125	0.43750
322	0.46875	0.43750
323	0.484375	0.43750
324	0.5	0.43750
325	-0.5	0.4218750
326	-0.484375	0.4218750
327	-0.46875	0.4218750
328	-0.453125	0.4218750
329	-0.4375	0.4218750
330	-0.421875	0.4218750
331	-0.40625	0.4218750
332	-0.390625	0.4218750
333	-0.375	0.4218750
334	-0.359375	0.4218750
335	-0.34375	0.4218750
336	-0.328125	0.4218750
337	-0.3125	0.4218750
338	-0.296875	0.4218750
339	-0.28125	0.4218750
340	-0.265625	0.4218750
341	-0.25	0.4218750
342	-0.234375	0.4218750
343	-0.21875	0.4218750
344	-0.203125	0.4218750
345	-0.1875	0.4218750
346	-0.171875	0.4218750
347	-0.15625	0.4218750
348	-0.140625	0.4218750
349	-0.125	0.4218750
350	-0.109375	0.4218750
351	-0.09375	0.4218750
352	-0.078125	0.4218750
353	-0.0625	0.4218750
354	-0.046875	0.4218750
355	-0.03125	0.4218750
356	-0.015625	0.4218750
357	0	0.4218750
358	0.015625	0.4218750
359	0.03125	0.4218750
360	0.046875	0.4218750
361	0.0625	0.4218750
362	0.078125	0.4218750
363	0.09375	0.4218750
364	0.109375	0.4218750
365	0.125	0.4218750
366	0.140625	0.4218750
367	0.15625	0.4218750
368	0.171875	0.4218750
369	0.1875	0.4218750
370	0.203125	0.4218750
371	0.21875	0.4218750
372	0.234375	0.4218750
373	0.25	0.4218750
374	0.265625	0.4218750
375	0.28125	0.4218750
376	0.296875	0.4218750
377	0.3125	0.4218750
378	0.328125	0.4218750
379	0.34375	0.4218750
380	0.359375	0.4218750
381	0.375	0.4218750
382	0.390625	0.4218750
383	0.40625	0.4218750
384	0.421875	0.4218750
385	0.4375	0.4218750
386	0.453125	0.4218750
387	0.46875	0.4218750
388	0.484375	0.4218750
389	0.5	0.4218750
390	-0.5	0.406250
391	-0.484375	0.406250
392	-0.46875	0.406250
393	-0.453125	0.406250
394	-0.4375	0.406250
395	-0.421875	0.406250
396	-0.40625	0.406250
397	-0.390625	0.406250
398	-0.375	0.406250
399	-0.359375	0.406250
400	-0.34375	0.406250
401	-0.328125	0.406250
402	-0.3125	0.406250
403	-0.296875	0.406250
404	-0.28125	0.406250
405	-0.265625	0.406250
406	-0.25	0.406250
407	-0.234375	0.406250
408	-0.21875	0.406250
409	-0.203125	0.406250
410	-0.1875	0.406250
411	-0.171875	0.406250
412	-0.15625	0.406250
413	-0.140625	0.406250
414	-0.125	0.406250
415	-0.109375	0.406250
416	-0.09375	0.406250
417	-0.078125	0.406250
418	-0.0625	0.406250
419	-0.046875	0.406250
420	-0.03125	0.406250
421	-0.015625	0.406250
422	0	0.406250
423	0.015625	0.406250
424	0.03125	0.406250
425	0.046875	0.406250
426	0.0625	0.406250
427	0.078125	0.406250
428	0.09375	0.406250
429	0.109375	0.406250
430	0.125	0.406250
431	0.140625	0.406250
432	0.15625	0.406250
433	0.171875	0.406250
434	0.1875	0.406250
435	0.203125	0.406250
436	0.21875	0.406250
437	0.234375	0.406250
438	0.25	0.406250
439	0.265625	0.406250
440	0.28125	0.406250
441	0.296875	0.406250
442	0.3125	0.406250
443	0.328125	0.406250
444	0.34375	0.406250
445	0.359375	0.406250
446	0.375	0.406250
447	0.390625	0.406250
448	0.40625	0.406250
