2RD Navier Stokes Equation Using Finite Volume Method
GRID Size:	 64 	 X 64 
Reynolds number of the simulation:100.000000
Iteration no:	103	 Ures: 	3.8813974775e-02	 Vres: 	1.5626828393e+00	 Pres: 	1.0491240871e+00	 
Iteration no:	104	 Ures: 	3.8179292226e-02	 Vres: 	1.5771557523e+00	 Pres: 	1.0310414077e+00	 
Iteration no:	105	 Ures: 	3.7613300492e-02	 Vres: 	1.5987065735e+00	 Pres: 	1.0042316432e+00	 
Iteration no:	106	 Ures: 	3.7121111916e-02	 Vres: 	1.6251306312e+00	 Pres: 	9.6925475844e-01	 
Iteration no:	107	 Ures: 	3.6703886113e-02	 Vres: 	1.6542444543e+00	 Pres: 	9.2679150415e-01	 
Iteration no:	108	 Ures: 	3.6358884449e-02	 Vres: 	1.6840132892e+00	 Pres: 	8.7763786069e-01	 
Iteration no:	109	 Ures: 	3.6079788279e-02	 Vres: 	1.7126320100e+00	 Pres: 	8.2270411547e-01	 
Iteration no:	110	 Ures: 	3.5857247979e-02	 Vres: 	1.7385673224e+00	 Pres: 	7.6302095067e-01	 
Iteration no:	111	 Ures: 	3.5679602283e-02	 Vres: 	1.7605721746e+00	 Pres: 	6.9975658301e-01	 
Iteration no:	112	 Ures: 	3.5533692053e-02	 Vres: 	1.7776824207e+00	 Pres: 	6.3425165039e-01	 
Iteration no:	113	 Ures: 	3.5405691614e-02	 Vres: 	1.7892033850e+00	 Pres: 	5.6808253004e-01	 
Iteration no:	114	 Ures: 	3.5281891922e-02	 Vres: 	1.7946914694e+00	 Pres: 	5.0316842055e-01	 
Iteration no:	115	 Ures: 	3.5149388184e-02	 Vres: 	1.7939339343e+00	 Pres: 	4.4193706117e-01	 
Iteration no:	116	 Ures: 	3.4996644771e-02	 Vres: 	1.7869285616e+00	 Pres: 	3.8753444994e-01	 
Iteration no:	117	 Ures: 	3.4813928006e-02	 Vres: 	1.7738639837e+00	 Pres: 	3.4393794652e-01	 
Iteration no:	118	 Ures: 	3.4593610494e-02	 Vres: 	1.7551008840e+00	 Pres: 	3.1553541945e-01	 
Iteration no:	119	 Ures: 	3.4330358529e-02	 Vres: 	1.7311539079e+00	 Pres: 	3.0558979562e-01	 
Iteration no:	120	 Ures: 	3.4021217496e-02	 Vres: 	1.7026738748e+00	 Pres: 	3.1414152433e-01	 
Iteration no:	121	 Ures: 	3.3665610250e-02	 Vres: 	1.6704296865e+00	 Pres: 	3.3762391805e-01	 
Iteration no:	122	 Ures: 	3.3265261459e-02	 Vres: 	1.6352891599e+00	 Pres: 	3.7083409206e-01	 
Iteration no:	123	 Ures: 	3.2824057830e-02	 Vres: 	1.5981978640e+00	 Pres: 	4.0898600100e-01	 
Iteration no:	124	 Ures: 	3.2347850868e-02	 Vres: 	1.5601549545e+00	 Pres: 	4.4846884609e-01	 
Iteration no:	125	 Ures: 	3.1844205808e-02	 Vres: 	1.5221850303e+00	 Pres: 	4.8676029769e-01	 
Iteration no:	126	 Ures: 	3.1322098272e-02	 Vres: 	1.4853052939e+00	 Pres: 	5.2213097902e-01	 
Iteration no:	127	 Ures: 	3.0791559286e-02	 Vres: 	1.4504878864e+00	 Pres: 	5.5339234063e-01	 
Iteration no:	128	 Ures: 	3.0263270236e-02	 Vres: 	1.4186182770e+00	 Pres: 	5.7972638715e-01	 
Iteration no:	129	 Ures: 	2.9748112338e-02	 Vres: 	1.3904519625e+00	 Pres: 	6.0057839201e-01	 
Iteration no:	130	 Ures: 	2.9256680613e-02	 Vres: 	1.3665732565e+00	 Pres: 	6.1558997528e-01	 
Iteration no:	131	 Ures: 	2.8798779819e-02	 Vres: 	1.3473611406e+00	 Pres: 	6.2455660476e-01	 
Iteration no:	132	 Ures: 	2.8382928380e-02	 Vres: 	1.3329674339e+00	 Pres: 	6.2739966994e-01	 
Iteration no:	133	 Ures: 	2.8015904204e-02	 Vres: 	1.3233114719e+00	 Pres: 	6.2414728778e-01	 
Iteration no:	134	 Ures: 	2.7702370979e-02	 Vres: 	1.3180930883e+00	 Pres: 	6.1492041554e-01	 
Iteration no:	135	 Ures: 	2.7444622579e-02	 Vres: 	1.3168225631e+00	 Pres: 	5.9992227714e-01	 
Iteration no:	136	 Ures: 	2.7242475104e-02	 Vres: 	1.3188633276e+00	 Pres: 	5.7942997396e-01	 
Iteration no:	137	 Ures: 	2.7093321280e-02	 Vres: 	1.3234814948e+00	 Pres: 	5.5378771026e-01	 
Iteration no:	138	 Ures: 	2.6992342976e-02	 Vres: 	1.3298960911e+00	 Pres: 	5.2340148340e-01	 
Iteration no:	139	 Ures: 	2.6932858751e-02	 Vres: 	1.3373249846e+00	 Pres: 	4.8873550140e-01	 
Iteration no:	140	 Ures: 	2.6906768780e-02	 Vres: 	1.3450233049e+00	 Pres: 	4.5031114976e-01	 
Iteration no:	141	 Ures: 	2.6905052249e-02	 Vres: 	1.3523129948e+00	 Pres: 	4.0871030137e-01	 
Iteration no:	142	 Ures: 	2.6918272879e-02	 Vres: 	1.3586035778e+00	 Pres: 	3.6458672702e-01	 
Iteration no:	143	 Ures: 	2.6937055147e-02	 Vres: 	1.3634051246e+00	 Pres: 	3.1869372476e-01	 
Iteration no:	144	 Ures: 	2.6952504253e-02	 Vres: 	1.3663347952e+00	 Pres: 	2.7194651203e-01	 
Iteration no:	145	 Ures: 	2.6956554111e-02	 Vres: 	1.3671183709e+00	 Pres: 	2.2556435962e-01	 
Iteration no:	146	 Ures: 	2.6942237405e-02	 Vres: 	1.3655880231e+00	 Pres: 	1.8140541856e-01	 
Iteration no:	147	 Ures: 	2.6903879026e-02	 Vres: 	1.3616773129e+00	 Pres: 	1.4275169452e-01	 
